L16,
L55,
L161,
L160,
L163,
L164,
L197,
L220,
L225,
L226,
L232,
L241,
L256,
L274,
L351,
outcosc,Kryta out post track C
outcosd,Kryta out post track D
outcryc,crystal desert out post track C
outcryd,crystal desert out post track D
outednc,pre searing out post track C
outednd,pre searing out post track D
outovrc,Maguma jungle out post track C
outovrd,Maguma jungle out post track D
outscrc,Ascalon out post track C
outscrd,Ascalon out post track D
outsnwc,Shiverpeaks out post track C
outsnwd,Shiverpeaks out post track D
outvolc,ring of fire out post track C
outvold,ring of fire out post track D
outposc,Prophecies out post track C
outposd,Prophecies out post track D
outpose,Prophecies out post track E
outposf,Prophecies out post track F
outposr,Prophecies out post track R
outposs,Prophecies out post track S
outposx,Prophecies out post track X
outpost,Prophecies out post plain
outglda,Guild out post track A
outgldb,Guild out post track B
outrfta,Rift out post track A
outrftb,Rift out post track B
riftgld,Rift Guild
riftina,Rift I N A
snowsaa,Sorrows Furnace Track A
snowsab,Sorrows Furnace Track B
snowsac,Sorrows Furnace Track C
snowdaa,Sorrows Furnace Dungeon Track A
snowdab,Sorrows Furnace Dungeon Track B
snowdac,Sorrows Furnace Dungeon Track C
dungbsi,Sorrows Furnace Boss Track I
dungbsa,Sorrows Furnace Boss Track A
dungbsb,Sorrows Furnace Boss Track B
dungbsc,Sorrows Furnace Boss Track C
loginze,Login Z E
loginzd,Login Z D
loginzc,Login Z C
loginzb,Login Z B
loginza,Login Z A
loginzz,Login Z Z
loginnf,Login N F
loginen,Login E N
coasada,Kryta adventuring track A
crysada,Crystal desert adventuring track A
edenada,pre searing adventuring track A
edenadb,pre searing adventuring track B
fountna,Fountain track A
geneada,Prophecies generic adventuring track A
geneadb,Prophecies generic adventuring track B
geneadc,Prophecies generic adventuring track C
geneadd,Prophecies generic adventuring track D
scorada,Ascalon adventuring track A
scoradb,Ascalon adventuring track B
snowada,Shiverpeaks adventuring track A
villaga,Prophecies village track A
volcada,Ring of fire adventuring track A
volcadb,Ring of fire adventuring track B
ruraada,Shing jay adventuring track A
ruraadb,Shing jay adventuring track B
ruraadc,Shing jay adventuring track C
petrada,Echovald forest adventuring track A
petradb,Echovald forest adventuring track B
seabada,Jade sea adventuring track A
seabadb,Jade sea adventuring track B
seabadc,Jade sea adventuring track C
urbaada,City adventuring track A
urbaadb,City adventuring track B
urbaadc,City adventuring track C
outrura,Shing Jay out post track A
outrurb,Shing Jay out post track B
outrurc,Shing Jay out post track C
outpeta,Echovald forest out post track A
outpetb,Echovald forest out post track B
outurba,City out post track A
outurbb,City out post track B
outurbc,City out post track C
outseaa,Jade sea out post track A
outseab,Jade sea out post track B
outseac,Jade sea out post track C
canadab,Cantha adventuring track B
outdela,Istan out post track A
outdelb,Istan out post track B
outdelc,Istan out post track C
deladaa,Istan adventuring track A
deladab,Istan adventuring track B
deladac,Istan adventuring track C
outlowa,Kourna out post track A
outlowb,Kourna out post track B
outlowc,Kourna out post track C
lowadaa,kourna adventuring track A
lowadab,kourna adventuring track B
lowadac,kourna adventuring track C
outhiga,Vabbi out post track A
outhigb,Vabbi out post track B
outhigc,Vabbi out post track C
higadaa,Vabbi adventuring track A
higadab,Vabbi adventuring track B
higadac,Vabbi adventuring track C
outbada,Desolation out post track A
outbadb,Desolation out post track B
outbadc,Desolation out post track C
badadaa,Desolation adventuring track A
badadab,Desolation adventuring track B
badadac,Desolation adventuring track C
outniga,Realm of Torment out post track A
outnigb,Realm of Torment out post track B
outnigc,Realm of Torment out post track C
nitadaa,Realm of Torment adventuring track A
nitadab,Realm of Torment adventuring track B
nitadac,Realm of Torment adventuring track C
battnfa,Nightfall battle track A
battnfb,Nightfall battle track B
battnfc,Nightfall battle track C
battnff,Nightfall battle track F
battnfg,Nightfall battle track G
battnfh,Nightfall battle track H
battnfi,Nightfall battle track I
enamste,GWEN ambient S T E
enammou,GWEN ambient mountains
enamina,GWEN ambient asura track A
enaminb,GWEN ambient asura track B
enamsub,GWEN ambient sub
enamgea,GWEN ambient G E track A
enamgeb,GWEN ambient G E track B
enampea,GWEN ambient P E track A
enampeb,GWEN ambient P E track B
enamsca,GWEN ambient char track A
enamscb,GWEN ambient char track B
enamsci,GWEN ambient char track I
enamsna,GWEN ambient norn track A
enamsnb,GWEN ambient norn track B
enamsni,GWEN ambient norn track I
enbabaa,GWEN battle track A
enbabab,GWEN battle track B
enbabac,GWEN battle track C
enbabad,GWEN battle track D
enbabae,GWEN battle track E
enbabaf,GWEN battle track F
enbabag,GWEN battle track G
enbaboa,GWEN boss track A
enbabob,GWEN boss track B
enbaboc,GWEN boss track C
enbabod,GWEN boss track D
enbaboe,GWEN boss track E
enepnor,GWEN epic norn
enepasu,GWEN epic asura
enepdwa,GWEN epic dwarf
enepdes,GWEN epic destroyer
enciwis,GWEN cue W I S
encigwe,GWEN cue Gwen
enciwon,GWEN cue won
encithr,GWEN cue T H R
encibro,GWEN cue bro
encimag,GWEN cue M A G
encimil,GWEN cue M I L
encirev,GWEN cue R E V
enciten,GWEN cue T E N
encidan,GWEN cue D A N
enciint,GWEN cue I N T
encihum,GWEN cue H U M
encitri,GWEN cue T R I
enciurg,GWEN cue U R G
endefau,GWEN generic ambient
ambient,Prophecies ambient
ambienf,Factions ambient
